Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,014015,2024,09,27,26.0,1,N
IDCJAC0011,014015,2024,09,28,25.4,1,N
IDCJAC0011,014015,2024,09,29,26.0,1,N
IDCJAC0011,014015,2024,09,30,25.3,1,N
IDCJAC0011,014015,2024,10,01,24.5,1,N
IDCJAC0011,014015,2024,10,02,25.7,1,N
IDCJAC0011,014015,2024,10,03,25.5,1,N
IDCJAC0011,014015,2024,10,04,25.2,1,N
IDCJAC0011,014015,2024,10,05,24.0,1,N
IDCJAC0011,014015,2024,10,06,25.3,1,N
IDCJAC0011,014015,2024,10,07,25.4,1,N
IDCJAC0011,014015,2024,10,08,25.0,1,N
IDCJAC0011,014015,2024,10,09,25.6,1,N
IDCJAC0011,014015,2024,10,10,25.8,1,N
IDCJAC0011,014015,2024,10,11,26.3,1,N
IDCJAC0011,014015,2024,10,12,25.9,1,N
IDCJAC0011,014015,2024,10,13,25.7,1,N
IDCJAC0011,014015,2024,10,14,26.0,1,N
IDCJAC0011,014015,2024,10,15,25.0,1,N
IDCJAC0011,014015,2024,10,16,24.8,1,N
IDCJAC0011,014015,2024,10,17,25.9,1,N
IDCJAC0011,014015,2024,10,18,25.9,1,N
IDCJAC0011,014015,2024,10,19,26.1,1,N
IDCJAC0011,014015,2024,10,20,27.4,1,N
IDCJAC0011,014015,2024,10,21,24.5,1,N
IDCJAC0011,014015,2024,10,22,25.5,1,N
IDCJAC0011,014015,2024,10,23,27.1,1,N
IDCJAC0011,014015,2024,10,24,26.0,1,N
IDCJAC0011,014015,2024,10,25,26.5,1,N
IDCJAC0011,014015,2024,10,26,25.0,1,N
IDCJAC0011,014015,2024,10,27,27.8,1,N
IDCJAC0011,014015,2024,10,28,26.7,1,N
IDCJAC0011,014015,2024,10,29,26.7,1,N
IDCJAC0011,014015,2024,10,30,26.5,1,N
IDCJAC0011,014015,2024,10,31,22.4,1,N
IDCJAC0011,014015,2024,11,01,24.1,1,N
IDCJAC0011,014015,2024,11,02,23.8,1,N
IDCJAC0011,014015,2024,11,03,21.9,1,N
IDCJAC0011,014015,2024,11,04,25.3,1,N
IDCJAC0011,014015,2024,11,05,25.4,1,N
IDCJAC0011,014015,2024,11,06,26.5,1,N
IDCJAC0011,014015,2024,11,07,26.4,1,N
IDCJAC0011,014015,2024,11,08,26.5,1,N
IDCJAC0011,014015,2024,11,09,26.5,1,N
IDCJAC0011,014015,2024,11,10,25.1,1,N
IDCJAC0011,014015,2024,11,11,25.8,1,N
IDCJAC0011,014015,2024,11,12,27.5,1,N
IDCJAC0011,014015,2024,11,13,27.5,1,N
IDCJAC0011,014015,2024,11,14,24.9,1,N
IDCJAC0011,014015,2024,11,15,26.1,1,N
IDCJAC0011,014015,2024,11,16,27.0,1,N
IDCJAC0011,014015,2024,11,17,26.7,1,N
IDCJAC0011,014015,2024,11,18,23.5,1,N
IDCJAC0011,014015,2024,11,19,23.4,1,N
IDCJAC0011,014015,2024,11,20,24.6,1,N
IDCJAC0011,014015,2024,11,21,25.7,1,N
IDCJAC0011,014015,2024,11,22,22.4,1,N
IDCJAC0011,014015,2024,11,23,25.2,1,N
IDCJAC0011,014015,2024,11,24,24.9,1,N
IDCJAC0011,014015,2024,11,25,25.8,1,N
IDCJAC0011,014015,2024,11,26,25.5,1,N
IDCJAC0011,014015,2024,11,27,24.5,1,N
IDCJAC0011,014015,2024,11,28,25.8,1,N
